City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Accuracy Score,Continent,Subdivision,latitude,longitude,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road %,Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Stockholm,Sweden,"985,000",Balanced,City Wide,94.7,1.2,104%,96%,96.0,7.2,68,EU,,59.33,18.07,239,1567,0.411,1540,0.327,27,0.006,1636,0.347,0.129,0.192,4717,13027,2815,17878,0.2,15.5,13.8,12.2,,14
Stockholm,Sweden,"985,000",Balanced,Best Area,95.9,0.8,104%,96%,96.7,8.3,68,EU,,59.33,18.07,266,1695,0.406,1668,0.321,27,0.005,1801,0.346,0.132,0.196,5202,13323,2907,18343,0.2,15.9,14.2,13.5,,13
Stockholm,Sweden,"985,000",Destination,City Wide,91.0,0.6,104%,96%,91.7,7.2,68,EU,,59.33,18.07,238,1567,0.411,1540,0.327,27,0.006,1635,0.347,0.129,0.192,4716,13028,2815,17879,0.2,15.5,13.8,12.2,,12
Stockholm,Sweden,"985,000",Destination,Best Area,91.6,0.5,104%,96%,92.1,8.3,68,EU,,59.33,18.07,265,1697,0.406,1670,0.321,27,0.005,1800,0.346,0.131,0.196,5201,13344,2908,18372,0.2,15.9,14.2,13.5,,11
Copenhagen,Denmark,"667,000",Infrastructure,City Wide,96.3,2.1,103%,97%,98.8,6.1,91,EU,,55.66,12.60,224,1584,0.473,1537,0.367,47,0.011,149,0.036,0.385,0.201,4188,12375,4969,17184,0.6,17.8,16.7,10.7,,-4
Copenhagen,Denmark,"667,000",Infrastructure,Best Area,98.4,1.7,104%,96%,100.1,7.3,91,EU,,55.66,12.60,255,1742,0.471,1688,0.359,54,0.012,166,0.035,0.38,0.214,4706,12850,5058,17853,0.6,18.6,17.4,11.4,,-4
Copenhagen,Denmark,"667,000",Balanced,City Wide,93.3,1.5,103%,97%,95.1,6.1,91,EU,,55.66,12.60,224,1584,0.473,1537,0.367,47,0.011,149,0.036,0.385,0.201,4188,12375,4969,17184,0.6,17.8,16.7,10.7,,-5
Copenhagen,Denmark,"667,000",Balanced,Best Area,94.8,1.2,104%,96%,96.0,7.3,91,EU,,55.66,12.60,255,1742,0.471,1688,0.359,54,0.012,166,0.035,0.38,0.214,4706,12850,5058,17853,0.6,18.6,17.4,11.4,,-5
Copenhagen,Denmark,"667,000",Destination,City Wide,90.2,0.9,103%,97%,91.3,6.1,91,EU,,55.66,12.60,224,1584,0.473,1537,0.367,47,0.011,149,0.036,0.385,0.201,4188,12377,4969,17186,0.6,17.9,16.7,10.5,,-8
Copenhagen,Denmark,"667,000",Destination,Best Area,91.1,0.7,104%,96%,91.8,7.3,91,EU,,55.66,12.60,255,1742,0.471,1688,0.359,54,0.012,166,0.035,0.38,0.214,4706,12850,5058,17853,0.6,18.6,17.4,11.4,,-7
Antwerp,Belgium,"577,496",Infrastructure,City Wide,93.2,2.7,103%,97%,96.2,5.9,73,EU,,51.22,4.40,212,1138,0.435,1106,0.367,32,0.011,662,0.219,0.271,0.133,3016,8889,2351,12694,0.9,14.3,13.3,11.6,21,19
Antwerp,Belgium,"577,496",Infrastructure,Best Area,95.9,1.0,104%,96%,96.9,7.2,73,EU,,51.22,4.40,255,1308,0.428,1267,0.358,41,0.012,742,0.209,0.284,0.137,3543,9727,2573,13827,0.8,15.0,14.3,13.2,21,19
Antwerp,Belgium,"577,496",Balanced,City Wide,90.3,2.0,103%,97%,92.6,5.9,73,EU,,51.22,4.40,212,1138,0.435,1106,0.367,32,0.011,662,0.219,0.271,0.133,3016,8889,2351,12694,0.9,14.3,13.3,11.6,20,18
Antwerp,Belgium,"577,496",Balanced,Best Area,92.3,0.8,104%,96%,93.1,7.2,73,EU,,51.22,4.40,254,1308,0.428,1268,0.358,41,0.012,742,0.21,0.284,0.137,3538,9757,2585,13865,0.8,14.9,14.3,13.2,20,18
Antwerp,Belgium,"577,496",Destination,City Wide,87.3,1.4,103%,97%,88.8,5.9,73,EU,,51.22,4.40,212,1138,0.435,1106,0.367,32,0.011,662,0.219,0.271,0.133,3016,8889,2351,12694,0.9,14.3,13.3,11.6,10,11
Antwerp,Belgium,"577,496",Destination,Best Area,88.7,0.4,104%,96%,89.1,7.2,73,EU,,51.22,4.40,254,1309,0.429,1268,0.359,41,0.012,742,0.21,0.283,0.136,3531,9781,2595,13897,0.8,14.9,14.3,13.2,7,10
Amsterdam,Netherlands,"867,612",Infrastructure,City Wide,90.6,2.9,101%,99%,93.7,1.5,68,EU,,52.37,4.89,138,1059,0.442,988,0.375,71,0.027,1072,0.407,0.101,0.09,2634,12616,3948,17398,0.6,12.3,11.1,10.2,8,-4
Amsterdam,Netherlands,"867,612",Infrastructure,Best Area,93.5,0.5,102%,98%,94.0,3.0,68,EU,,52.37,4.89,171,1283,0.433,1186,0.364,97,0.03,1321,0.406,0.111,0.09,3256,14144,4351,19452,0.6,13.3,12.5,11.5,8,-4
Amsterdam,Netherlands,"867,612",Balanced,City Wide,89.8,2.2,101%,99%,92.2,1.5,68,EU,,52.37,4.89,138,1058,0.442,987,0.375,71,0.027,1070,0.407,0.101,0.09,2631,12627,3947,17410,0.6,12.3,11.1,10.2,7,-5
Amsterdam,Netherlands,"867,612",Balanced,Best Area,92.0,0.4,102%,98%,92.4,3.0,68,EU,,52.37,4.89,171,1283,0.433,1186,0.364,97,0.03,1321,0.406,0.111,0.09,3256,14144,4351,19452,0.6,13.3,12.5,11.5,7,-5
Amsterdam,Netherlands,"867,612",Destination,City Wide,89.1,1.4,101%,99%,90.6,1.5,68,EU,,52.37,4.89,138,1058,0.442,987,0.375,71,0.027,1071,0.407,0.101,0.09,2631,12628,3948,17411,0.6,12.3,11.1,10.2,2,-7
Amsterdam,Netherlands,"867,612",Destination,Best Area,90.5,0.2,102%,98%,90.7,3.0,68,EU,,52.37,4.89,171,1283,0.433,1186,0.364,97,0.03,1321,0.406,0.111,0.09,3256,14144,4351,19452,0.6,13.3,12.5,11.5,0,-7
Berlin,Germany,"3,541,606",Infrastructure,City Wide,80.2,7.5,96%,104%,88.4,-6.9,73,EU,,52.52,13.40,73,413,0.397,355,0.296,58,0.049,514,0.43,0.096,0.129,1196,12722,7870,18597,0.3,8.5,7.1,6.2,10,
Berlin,Germany,"3,541,606",Infrastructure,Best Area,87.7,3.9,96%,104%,91.6,-7.2,73,EU,,52.52,13.40,119,712,0.406,608,0.302,104,0.051,852,0.423,0.095,0.129,2014,22850,12485,32656,0.3,10.2,9.3,8.4,15,
Berlin,Germany,"3,541,606",Balanced,City Wide,83.6,7.6,96%,104%,91.7,-6.9,73,EU,,52.52,13.40,73,413,0.394,354,0.295,59,0.049,518,0.432,0.096,0.128,1200,12738,7904,18638,0.3,8.4,7.1,6.2,16,
Berlin,Germany,"3,541,606",Balanced,Best Area,91.2,3.7,96%,104%,94.9,-7.2,73,EU,,52.52,13.40,115,716,0.41,606,0.308,110,0.056,841,0.427,0.096,0.114,1969,24019,13636,34488,0.3,10.1,9.0,8.1,27,
Berlin,Germany,"3,541,606",Destination,City Wide,87.1,7.8,96%,104%,95.5,-6.9,73,EU,,52.52,13.40,73,411,0.394,353,0.295,59,0.049,517,0.433,0.096,0.127,1196,12752,7909,18655,0.3,8.3,7.0,6.1,18,
Berlin,Germany,"3,541,606",Destination,Best Area,94.9,3.2,96%,104%,98.1,-7.2,73,EU,,52.52,13.40,114,714,0.411,604,0.309,110,0.057,834,0.427,0.096,0.111,1952,24128,13769,34674,0.3,10.0,8.9,8.0,31,
Brussels,Belgium,"196,828",Infrastructure,City Wide,88.1,2.3,98%,102%,90.7,-2.8,71,EU,,50.85,4.35,158,744,0.339,629,0.251,115,0.046,946,0.378,0.203,0.122,2503,15235,7534,23066,0.6,12.8,10.3,9.3,-7,40
Brussels,Belgium,"196,828",Infrastructure,Best Area,90.4,0.4,99%,101%,90.8,-1.5,71,EU,,50.85,4.35,188,841,0.34,719,0.251,123,0.043,1017,0.355,0.216,0.136,2866,15964,7832,24134,0.6,13.5,11.3,10.1,-9,38
Brussels,Belgium,"196,828",Balanced,City Wide,89.5,1.6,98%,102%,91.3,-2.8,71,EU,,50.85,4.35,158,744,0.339,629,0.251,115,0.046,946,0.378,0.203,0.122,2503,15235,7534,23066,0.6,12.8,10.3,9.3,-2,42
Brussels,Belgium,"196,828",Balanced,Best Area,91.1,0.3,99%,101%,91.4,-1.5,71,EU,,50.85,4.35,187,839,0.338,717,0.25,122,0.043,1025,0.358,0.215,0.134,2862,16017,7864,24222,0.6,13.7,11.3,10.0,-3,42
Brussels,Belgium,"196,828",Destination,City Wide,90.9,1.0,98%,102%,92.0,-2.8,71,EU,,50.85,4.35,157,741,0.337,626,0.25,116,0.046,954,0.382,0.201,0.121,2499,15284,7575,23163,0.6,12.8,10.2,9.4,-1,44
Brussels,Belgium,"196,828",Destination,Best Area,91.9,0.2,99%,101%,92.1,-1.5,71,EU,,50.85,4.35,187,839,0.338,717,0.25,122,0.043,1025,0.358,0.215,0.134,2862,16017,7864,24222,0.6,13.7,11.3,10.0,-3,45
Cologne,Germany,"1,200,156",Infrastructure,City Wide,88.1,3.5,100%,100%,91.8,0.0,92,EU,,50.96,6.89,147,728,0.371,674,0.256,54,0.02,783,0.297,0.171,0.256,2636,11666,2817,16240,0.6,12.1,10.5,8.9,36,65
Cologne,Germany,"1,200,156",Infrastructure,Best Area,91.6,1.3,101%,99%,92.9,2.0,92,EU,,50.96,6.89,192,872,0.354,809,0.242,63,0.019,999,0.299,0.177,0.263,3338,12960,3005,17973,0.6,13.0,11.5,10.6,38,65
Cologne,Germany,"1,200,156",Balanced,City Wide,88.1,2.5,100%,100%,90.8,0.0,92,EU,,50.96,6.89,147,728,0.371,674,0.256,54,0.02,783,0.297,0.171,0.256,2636,11666,2817,16240,0.6,12.1,10.5,8.9,40,66
Cologne,Germany,"1,200,156",Balanced,Best Area,90.6,0.9,101%,99%,91.5,2.0,92,EU,,50.96,6.89,192,872,0.354,809,0.242,63,0.019,999,0.299,0.177,0.263,3338,12960,3005,17973,0.6,13.0,11.5,10.6,39,66
Cologne,Germany,"1,200,156",Destination,City Wide,88.1,1.5,100%,100%,89.7,0.0,92,EU,,50.96,6.89,147,728,0.371,674,0.256,54,0.02,783,0.297,0.171,0.256,2636,11663,2817,16236,0.6,12.1,10.5,8.9,36,65
Cologne,Germany,"1,200,156",Destination,Best Area,89.6,0.5,101%,99%,90.1,2.0,92,EU,,50.96,6.89,191,872,0.354,809,0.242,63,0.019,999,0.299,0.177,0.263,3338,12971,3007,17987,0.6,12.9,11.5,10.6,34,64
Dusseldorf,Germany,"693,104",Infrastructure,City Wide,88.2,3.9,101%,99%,93.6,1.7,87,EU,,51.23,6.78,142,771,0.401,719,0.298,52,0.022,780,0.324,0.154,0.203,2412,9350,2421,13180,0.6,12.1,10.4,9.7,31,
Dusseldorf,Germany,"693,104",Infrastructure,Best Area,92.1,3.2,102%,98%,95.3,3.7,87,EU,,51.23,6.78,193,950,0.38,890,0.284,60,0.019,1033,0.33,0.165,0.201,3128,10773,2632,15168,0.6,14.3,11.6,11.0,33,
Dusseldorf,Germany,"693,104",Balanced,City Wide,87.3,3.0,101%,99%,91.4,1.7,87,EU,,51.23,6.78,142,771,0.401,719,0.298,52,0.022,781,0.324,0.154,0.203,2415,9357,2425,13188,0.6,12.1,10.4,9.6,31,
Dusseldorf,Germany,"693,104",Balanced,Best Area,90.3,2.6,102%,98%,92.9,3.7,87,EU,,51.23,6.78,193,950,0.38,889,0.285,60,0.019,1033,0.331,0.165,0.201,3126,10780,2638,15177,0.6,14.4,11.6,11.0,32,
Dusseldorf,Germany,"693,104",Destination,City Wide,86.5,1.9,101%,99%,89.1,1.7,87,EU,,51.23,6.78,142,771,0.401,719,0.298,52,0.022,781,0.324,0.154,0.203,2415,9357,2425,13188,0.6,12.1,10.4,9.6,25,
Dusseldorf,Germany,"693,104",Destination,Best Area,88.4,2.0,102%,98%,90.4,3.7,87,EU,,51.23,6.78,193,950,0.381,889,0.285,61,0.019,1033,0.331,0.164,0.201,3123,10801,2652,15201,0.6,14.3,11.6,11.0,22,
Bremen,Germany,"617,011",Infrastructure,City Wide,90.5,2.8,103%,97%,93.5,5.2,78,EU,,53.08,8.81,165,780,0.415,763,0.321,17,0.007,731,0.307,0.154,0.211,2379,6895,2955,10059,0.3,15.5,13.6,12.0,31,60
