City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Accuracy Score,Continent,Subdivision,latitude,longitude,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road %,Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Fortaleza,Brazil,"2,428,708",Destination,Best Area,61.3,4.6,93%,106%,65.9,-7.4,51,Other,,-3.73,-38.52,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,"458,491",Infrastructure,City Wide,55.0,4.1,103%,97%,60.2,2.8,62,NA,,33.77,-118.19,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,"458,491",Infrastructure,Best Area,59.1,1.4,103%,99%,60.5,2.2,62,NA,,33.77,-118.19,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,"458,491",Balanced,City Wide,53.6,4.0,103%,97%,58.3,2.8,62,NA,,33.77,-118.19,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,"458,491",Balanced,Best Area,57.6,1.6,103%,99%,59.2,2.2,62,NA,,33.77,-118.19,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,"458,491",Destination,City Wide,52.2,4.7,103%,97%,57.4,2.8,62,NA,,33.77,-118.19,,,,,,,,,,,,,,,,,,,,,
Long Beach,CA,"458,491",Destination,Best Area,56.9,1.2,103%,99%,58.1,2.2,62,NA,,33.77,-118.19,,,,,,,,,,,,,,,,,,,,,
Regina,SK,"227,623",Infrastructure,City Wide,54.0,3.8,101%,99%,57.9,1.2,89,NA,,50.45,-104.62,,,,,,,,,,,,,,,,,,,,,
Regina,SK,"227,623",Infrastructure,Best Area,57.8,0.9,101%,99%,58.7,0.6,89,NA,,50.45,-104.62,,,,,,,,,,,,,,,,,,,,,
Regina,SK,"227,623",Balanced,City Wide,53.4,4.1,101%,99%,57.8,1.2,89,NA,,50.45,-104.62,,,,,,,,,,,,,,,,,,,,,
Regina,SK,"227,623",Balanced,Best Area,57.5,0.5,101%,99%,58.0,0.6,89,NA,,50.45,-104.62,,,,,,,,,,,,,,,,,,,,,
Regina,SK,"227,623",Destination,City Wide,52.8,4.4,101%,99%,57.2,1.2,89,NA,,50.45,-104.62,,,,,,,,,,,,,,,,,,,,,
Regina,SK,"227,623",Destination,Best Area,57.2,0.6,101%,99%,57.8,0.6,89,NA,,50.45,-104.62,,,,,,,,,,,,,,,,,,,,,
Rome,Italy,"2,700,000",Infrastructure,City Wide,29.4,21.2,90%,108%,53.0,-6.0,58,EU,,41.89,12.48,,,,,,,,,,,,,,,,,,,,,
Rome,Italy,"2,700,000",Infrastructure,Best Area,50.6,7.2,88%,111%,57.8,-13.2,79,EU,,41.89,12.48,,,,,,,,,,,,,,,,,,,,,
Rome,Italy,"2,700,000",Balanced,City Wide,32.7,24.8,90%,108%,62.2,-6.0,58,EU,,41.89,12.48,,,,,,,,,,,,,,,,,,,,,
Rome,Italy,"2,700,000",Balanced,Best Area,57.5,9.0,88%,111%,66.5,-13.2,79,EU,,41.89,12.48,,,,,,,,,,,,,,,,,,,,,
Rome,Italy,"2,700,000",Destination,City Wide,35.4,28.4,90%,108%,70.2,-6.0,58,EU,,41.89,12.48,,,,,,,,,,,,,,,,,,,,,
Rome,Italy,"2,700,000",Destination,Best Area,63.8,10.5,88%,111%,74.3,-13.2,79,EU,,41.89,12.48,,,,,,,,,,,,,,,,,,,,,
Tucson,AZ,"543,348",Infrastructure,City Wide,49.8,12.0,108%,91%,63.6,8.0,25,NA,,32.22,-110.97,,,,,,,,,,,,,,,,,,,,,
Tucson,AZ,"543,348",Infrastructure,Best Area,61.8,7.2,108%,94%,69.0,8.1,54,NA,,32.22,-110.97,,,,,,,,,,,,,,,,,,,,,
Tucson,AZ,"543,348",Balanced,City Wide,46.0,11.4,108%,91%,59.1,8.0,25,NA,,32.22,-110.97,,,,,,,,,,,,,,,,,,,,,
Tucson,AZ,"543,348",Balanced,Best Area,57.4,6.4,108%,94%,63.8,8.1,54,NA,,32.22,-110.97,,,,,,,,,,,,,,,,,,,,,
Tucson,AZ,"543,348",Destination,City Wide,41.8,11.9,108%,91%,55.9,8.0,25,NA,,32.22,-110.97,,,,,,,,,,,,,,,,,,,,,
Tucson,AZ,"543,348",Destination,Best Area,53.7,4.9,108%,94%,58.6,8.1,54,NA,,32.22,-110.97,,,,,,,,,,,,,,,,,,,,,
Brampton,ON,"790,000",Infrastructure,City Wide,51.4,8.0,103%,97%,60.2,3.3,76,NA,,43.69,-79.76,,,,,,,,,,,,,,,,,,,,,
Brampton,ON,"790,000",Infrastructure,Best Area,59.4,6.0,104%,98%,65.4,3.2,89,NA,,43.69,-79.76,,,,,,,,,,,,,,,,,,,,,
Brampton,ON,"790,000",Balanced,City Wide,49.8,7.5,103%,97%,58.2,3.3,76,NA,,43.69,-79.76,,,,,,,,,,,,,,,,,,,,,
Brampton,ON,"790,000",Balanced,Best Area,57.3,8.8,104%,98%,66.1,3.2,89,NA,,43.69,-79.76,,,,,,,,,,,,,,,,,,,,,
Brampton,ON,"790,000",Destination,City Wide,48.1,8.1,103%,97%,56.5,3.3,76,NA,,43.69,-79.76,,,,,,,,,,,,,,,,,,,,,
Brampton,ON,"790,000",Destination,Best Area,56.2,10.6,104%,98%,66.8,3.2,89,NA,,43.69,-79.76,,,,,,,,,,,,,,,,,,,,,
London,ON,"432,254",Infrastructure,City Wide,47.6,10.1,102%,98%,57.7,2.0,56,NA,,42.98,-81.25,,,,,,,,,,,,,,,,,,,,,
London,ON,"432,254",Infrastructure,Best Area,57.7,1.3,101%,100%,59.0,0.6,68,NA,,42.98,-81.25,,,,,,,,,,,,,,,,,,,,,
London,ON,"432,254",Balanced,City Wide,46.6,10.7,102%,98%,57.4,2.0,55,NA,,42.98,-81.25,,,,,,,,,,,,,,,,,,,,,
London,ON,"432,254",Balanced,Best Area,57.3,0.6,101%,100%,57.9,0.6,68,NA,,42.98,-81.25,,,,,,,,,,,,,,,,,,,,,
London,ON,"432,254",Destination,City Wide,45.6,11.5,102%,98%,57.4,2.0,53,NA,,42.98,-81.25,,,,,,,,,,,,,,,,,,,,,
London,ON,"432,254",Destination,Best Area,57.1,1.0,101%,100%,58.1,0.6,68,NA,,42.98,-81.25,,,,,,,,,,,,,,,,,,,,,
Rosario,Argentina,"1,030,069",Infrastructure,City Wide,41.7,9.8,92%,108%,51.7,-7.3,97,Other,,-32.96,-60.66,,,,,,,,,,,,,,,,,,,,,
Rosario,Argentina,"1,030,069",Infrastructure,Best Area,51.5,0.7,90%,110%,52.2,-11.3,97,Other,,-32.96,-60.66,,,,,,,,,,,,,,,,,,,,,
Rosario,Argentina,"1,030,069",Balanced,City Wide,45.5,11.8,92%,108%,57.6,-7.3,97,Other,,-32.96,-60.66,,,,,,,,,,,,,,,,,,,,,
Rosario,Argentina,"1,030,069",Balanced,Best Area,57.3,0.8,90%,110%,58.1,-11.3,97,Other,,-32.96,-60.66,,,,,,,,,,,,,,,,,,,,,
Rosario,Argentina,"1,030,069",Destination,City Wide,49.0,13.8,92%,108%,63.1,-7.3,97,Other,,-32.96,-60.66,,,,,,,,,,,,,,,,,,,,,
Rosario,Argentina,"1,030,069",Destination,Best Area,62.8,0.8,90%,110%,63.6,-11.3,97,Other,,-32.96,-60.66,,,,,,,,,,,,,,,,,,,,,
Charleroi,Belgium,"202,746",Infrastructure,City Wide,53.7,5.3,103%,97%,59.5,3.2,71,EU,,50.41,4.44,,,,,,,,,,,,,,,,,,,,,
Charleroi,Belgium,"202,746",Infrastructure,Best Area,59.0,1.9,103%,97%,60.9,3.5,71,EU,,50.41,4.44,,,,,,,,,,,,,,,,,,,,,
Charleroi,Belgium,"202,746",Balanced,City Wide,52.1,5.1,103%,97%,57.8,3.2,71,EU,,50.41,4.44,,,,,,,,,,,,,,,,,,,,,
Charleroi,Belgium,"202,746",Balanced,Best Area,57.2,1.3,103%,97%,58.5,3.5,71,EU,,50.41,4.44,,,,,,,,,,,,,,,,,,,,,
Charleroi,Belgium,"202,746",Destination,City Wide,50.5,5.0,103%,97%,56.1,3.2,71,EU,,50.41,4.44,,,,,,,,,,,,,,,,,,,,,
Charleroi,Belgium,"202,746",Destination,Best Area,55.5,1.3,103%,97%,56.8,3.5,71,EU,,50.41,4.44,,,,,,,,,,,,,,,,,,,,,
Yokohama,Japan,"3,700,000",Infrastructure,City Wide,41.2,9.5,83%,115%,51.4,-15.4,62,Other,,35.45,139.63,,,,,,,,,,,,,,,,,,,,,
Yokohama,Japan,"3,700,000",Infrastructure,Best Area,50.7,6.8,89%,113%,57.5,-14.0,62,Other,,35.45,139.63,,,,,,,,,,,,,,,,,,,,,
Yokohama,Japan,"3,700,000",Balanced,City Wide,49.4,7.8,83%,115%,57.7,-15.4,62,Other,,35.45,139.63,,,,,,,,,,,,,,,,,,,,,
Yokohama,Japan,"3,700,000",Balanced,Best Area,57.2,7.1,89%,113%,64.3,-14.0,62,Other,,35.45,139.63,,,,,,,,,,,,,,,,,,,,,
Yokohama,Japan,"3,700,000",Destination,City Wide,56.6,8.1,83%,115%,66.9,-15.4,62,Other,,35.45,139.63,,,,,,,,,,,,,,,,,,,,,
Yokohama,Japan,"3,700,000",Destination,Best Area,64.7,5.9,89%,113%,70.6,-14.0,62,Other,,35.45,139.63,,,,,,,,,,,,,,,,,,,,,
Overland Park,KS,"197,199",Infrastructure,City Wide,55.3,5.6,107%,92%,61.2,7.6,39,NA,,38.97,-94.69,,,,,,,,,,,,,,,,,,,,,
Overland Park,KS,"197,199",Infrastructure,Best Area,60.9,1.0,107%,93%,61.9,7.8,56,NA,,38.97,-94.69,,,,,,,,,,,,,,,,,,,,,
Overland Park,KS,"197,199",Balanced,City Wide,51.6,5.4,107%,92%,57.5,7.6,40,NA,,38.97,-94.69,,,,,,,,,,,,,,,,,,,,,
Overland Park,KS,"197,199",Balanced,Best Area,57.0,1.1,107%,93%,58.1,7.8,56,NA,,38.97,-94.69,,,,,,,,,,,,,,,,,,,,,
Overland Park,KS,"197,199",Destination,City Wide,47.7,5.4,107%,92%,53.5,7.6,40,NA,,38.97,-94.69,,,,,,,,,,,,,,,,,,,,,
Overland Park,KS,"197,199",Destination,Best Area,53.1,1.8,107%,93%,54.9,7.8,56,NA,,38.97,-94.69,,,,,,,,,,,,,,,,,,,,,
Belfast,UK,"352,390",Infrastructure,City Wide,45.6,8.2,95%,105%,54.0,-5.0,93,EU,,54.60,-5.93,,,,,,,,,,,,,,,,,,,,,
Belfast,UK,"352,390",Infrastructure,Best Area,53.8,2.4,94%,105%,56.2,-6.3,93,EU,,54.60,-5.93,,,,,,,,,,,,,,,,,,,,,
Belfast,UK,"352,390",Balanced,City Wide,48.2,8.8,95%,105%,57.2,-5.0,93,EU,,54.60,-5.93,,,,,,,,,,,,,,,,,,,,,
Belfast,UK,"352,390",Balanced,Best Area,57.0,2.1,94%,105%,59.1,-6.3,93,EU,,54.60,-5.93,,,,,,,,,,,,,,,,,,,,,
Belfast,UK,"352,390",Destination,City Wide,50.6,9.5,95%,105%,60.5,-5.0,93,EU,,54.60,-5.93,,,,,,,,,,,,,,,,,,,,,
Belfast,UK,"352,390",Destination,Best Area,60.1,1.7,94%,105%,61.8,-6.3,93,EU,,54.60,-5.93,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"650,873",Infrastructure,City Wide,48.9,12.6,108%,91%,62.2,7.8,31,NA,,36.17,-115.15,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"650,873",Infrastructure,Best Area,61.5,3.1,108%,94%,64.6,8.0,60,NA,,36.17,-115.15,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"650,873",Balanced,City Wide,45.2,11.8,108%,91%,58.3,7.8,31,NA,,36.17,-115.15,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"650,873",Balanced,Best Area,57.0,3.0,108%,94%,60.0,8.0,60,NA,,36.17,-115.15,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"650,873",Destination,City Wide,41.1,12.4,108%,91%,54.6,7.8,31,NA,,36.17,-115.15,,,,,,,,,,,,,,,,,,,,,
Las Vegas,NV,"650,873",Destination,Best Area,53.5,2.3,108%,94%,55.8,8.0,60,NA,,36.17,-115.15,,,,,,,,,,,,,,,,,,,,,
Kaohsiung,Taiwan,"2,722,984",Infrastructure,City Wide,24.8,24.9,87%,111%,55.2,-6.9,20,Other,,22.62,120.31,,,,,,,,,,,,,,,,,,,,,
Kaohsiung,Taiwan,"2,722,984",Infrastructure,Best Area,49.7,8.1,87%,111%,57.8,-13.5,20,Other,,22.62,120.31,,,,,,,,,,,,,,,,,,,,,
Kaohsiung,Taiwan,"2,722,984",Balanced,City Wide,28.5,28.4,87%,111%,63.4,-6.9,20,Other,,22.62,120.31,,,,,,,,,,,,,,,,,,,,,
Kaohsiung,Taiwan,"2,722,984",Balanced,Best Area,56.9,9.7,87%,111%,66.6,-13.5,20,Other,,22.62,120.31,,,,,,,,,,,,,,,,,,,,,
Kaohsiung,Taiwan,"2,722,984",Destination,City Wide,31.7,31.5,87%,111%,70.7,-6.9,20,Other,,22.62,120.31,,,,,,,,,,,,,,,,,,,,,
Kaohsiung,Taiwan,"2,722,984",Destination,Best Area,63.2,11.2,87%,111%,74.4,-13.5,20,Other,,22.62,120.31,,,,,,,,,,,,,,,,,,,,,
Albuquerque [Bernalillo County],NM,"562,488",Infrastructure,City Wide,48.9,11.7,107%,92%,61.1,6.8,0,NA,,35.03,-106.69,,,,,,,,,,,,,,,,,,,,,
Albuquerque [Bernalillo County],NM,"562,488",Infrastructure,Best Area,60.6,2.9,107%,94%,63.5,7.4,0,NA,,35.03,-106.69,,,,,,,,,,,,,,,,,,,,,
Albuquerque [Bernalillo County],NM,"562,488",Balanced,City Wide,45.7,11.0,107%,92%,56.9,6.8,0,NA,,35.03,-106.69,,,,,,,,,,,,,,,,,,,,,
Albuquerque [Bernalillo County],NM,"562,488",Balanced,Best Area,56.7,4.1,107%,94%,60.8,7.4,0,NA,,35.03,-106.69,,,,,,,,,,,,,,,,,,,,,
Albuquerque [Bernalillo County],NM,"562,488",Destination,City Wide,42.1,11.1,107%,92%,54.4,6.8,0,NA,,35.03,-106.69,,,,,,,,,,,,,,,,,,,,,
Albuquerque [Bernalillo County],NM,"562,488",Destination,Best Area,53.2,4.8,107%,94%,58.0,7.4,0,NA,,35.03,-106.69,,,,,,,,,,,,,,,,,,,,,
Amadora,Portugal,"170,000",Infrastructure,City Wide,34.1,15.7,84%,114%,53.3,-12.6,51,EU,,38.76,-9.24,,,,,,,,,,,,,,,,,,,,,
Amadora,Portugal,"170,000",Infrastructure,Best Area,49.8,9.8,88%,112%,59.6,-13.6,51,EU,,38.76,-9.24,,,,,,,,,,,,,,,,,,,,,
Amadora,Portugal,"170,000",Balanced,City Wide,40.8,15.9,84%,114%,60.5,-12.6,51,EU,,38.76,-9.24,,,,,,,,,,,,,,,,,,,,,
Amadora,Portugal,"170,000",Balanced,Best Area,56.7,11.6,88%,112%,68.3,-13.6,51,EU,,38.76,-9.24,,,,,,,,,,,,,,,,,,,,,
Amadora,Portugal,"170,000",Destination,City Wide,46.7,16.7,84%,114%,66.9,-12.6,51,EU,,38.76,-9.24,,,,,,,,,,,,,,,,,,,,,
Amadora,Portugal,"170,000",Destination,Best Area,63.4,12.6,88%,112%,76.0,-13.6,51,EU,,38.76,-9.24,,,,,,,,,,,,,,,,,,,,,
Aberdeen,United Kingdom,"227,560",Infrastructure,City Wide,51.6,2.9,100%,100%,54.6,-0.4,82,EU,,57.15,-2.09,,,,,,,,,,,,,,,,,,,,,
Aberdeen,United Kingdom,"227,560",Infrastructure,Best Area,54.5,1.2,96%,104%,55.7,-4.3,82,EU,,57.15,-2.09,,,,,,,,,,,,,,,,,,,,,
Aberdeen,United Kingdom,"227,560",Balanced,City Wide,51.8,4.8,100%,100%,57.0,-0.4,82,EU,,57.15,-2.09,,,,,,,,,,,,,,,,,,,,,
Aberdeen,United Kingdom,"227,560",Balanced,Best Area,56.6,1.1,96%,104%,57.7,-4.3,82,EU,,57.15,-2.09,,,,,,,,,,,,,,,,,,,,,
Aberdeen,United Kingdom,"227,560",Destination,City Wide,52.0,6.8,100%,100%,59.2,-0.4,82,EU,,57.15,-2.09,,,,,,,,,,,,,,,,,,,,,
Aberdeen,United Kingdom,"227,560",Destination,Best Area,58.8,1.0,96%,104%,59.8,-4.3,82,EU,,57.15,-2.09,,,,,,,,,,,,,,,,,,,,,
Vitoria,Brazil,"347,180",Infrastructure,City Wide,43.1,9.4,93%,107%,52.5,-6.6,62,Other,,-20.32,-40.34,,,,,,,,,,,,,,,,,,,,,
Vitoria,Brazil,"347,180",Infrastructure,Best Area,52.5,0.0,93%,107%,52.5,-7.9,62,Other,,-20.32,-40.34,,,,,,,,,,,,,,,,,,,,,
Vitoria,Brazil,"347,180",Balanced,City Wide,46.5,10.1,93%,107%,56.6,-6.6,62,Other,,-20.32,-40.34,,,,,,,,,,,,,,,,,,,,,
Vitoria,Brazil,"347,180",Balanced,Best Area,56.6,0.0,93%,107%,56.6,-7.9,62,Other,,-20.32,-40.34,,,,,,,,,,,,,,,,,,,,,
Vitoria,Brazil,"347,180",Destination,City Wide,49.7,10.7,93%,107%,60.4,-6.6,62,Other,,-20.32,-40.34,,,,,,,,,,,,,,,,,,,,,
Vitoria,Brazil,"347,180",Destination,Best Area,60.4,0.0,93%,107%,60.4,-7.9,62,Other,,-20.32,-40.34,,,,,,,,,,,,,,,,,,,,,
Skopje,North Macedonia,"526,502",Infrastructure,City Wide,43.5,9.7,94%,106%,53.5,-5.6,70,EU,,42.00,21.43,,,,,,,,,,,,,,,,,,,,,
Skopje,North Macedonia,"526,502",Infrastructure,Best Area,53.2,3.7,94%,107%,56.9,-7.0,70,EU,,42.00,21.43,,,,,,,,,,,,,,,,,,,,,
Skopje,North Macedonia,"526,502",Balanced,City Wide,46.4,10.1,94%,106%,56.8,-5.6,70,EU,,42.00,21.43,,,,,,,,,,,,,,,,,,,,,
Skopje,North Macedonia,"526,502",Balanced,Best Area,56.5,0.5,94%,107%,57.0,-7.0,70,EU,,42.00,21.43,,,,,,,,,,,,,,,,,,,,,
Skopje,North Macedonia,"526,502",Destination,City Wide,49.1,11.1,94%,106%,60.5,-5.6,70,EU,,42.00,21.43,,,,,,,,,,,,,,,,,,,,,
Skopje,North Macedonia,"526,502",Destination,Best Area,60.2,0.5,94%,107%,60.7,-7.0,70,EU,,42.00,21.43,,,,,,,,,,,,,,,,,,,,,
Omaha,NE,"488,197",Infrastructure,City Wide,50.8,8.9,105%,95%,60.8,4.9,56,NA,,41.26,-95.94,,,,,,,,,,,,,,,,,,,,,
Omaha,NE,"488,197",Infrastructure,Best Area,59.7,5.7,106%,94%,65.4,6.5,81,NA,,41.26,-95.94,,,,,,,,,,,,,,,,,,,,,
Omaha,NE,"488,197",Balanced,City Wide,48.4,8.0,105%,95%,57.3,4.9,56,NA,,41.26,-95.94,,,,,,,,,,,,,,,,,,,,,
Omaha,NE,"488,197",Balanced,Best Area,56.4,5.8,106%,94%,62.2,6.5,81,NA,,41.26,-95.94,,,,,,,,,,,,,,,,,,,,,
Omaha,NE,"488,197",Destination,City Wide,45.9,7.3,105%,95%,54.0,4.9,56,NA,,41.26,-95.94,,,,,,,,,,,,,,,,,,,,,
Omaha,NE,"488,197",Destination,Best Area,53.2,5.7,106%,94%,58.9,6.5,81,NA,,41.26,-95.94,,,,,,,,,,,,,,,,,,,,,
Jackson,WY,"10,746",Infrastructure,City Wide,61.8,1.0,111%,87%,62.6,13.4,87,NA,,43.48,-110.76,,,,,,,,,,,,,,,,,,,,,
Jackson,WY,"10,746",Infrastructure,Best Area,62.8,0.4,112%,87%,63.2,13.8,87,NA,,43.48,-110.76,,,,,,,,,,,,,,,,,,,,,
Jackson,WY,"10,746",Balanced,City Wide,55.5,0.8,111%,87%,56.1,13.4,87,NA,,43.48,-110.76,,,,,,,,,,,,,,,,,,,,,
Jackson,WY,"10,746",Balanced,Best Area,56.3,0.4,112%,87%,56.7,13.8,87,NA,,43.48,-110.76,,,,,,,,,,,,,,,,,,,,,
Jackson,WY,"10,746",Destination,City Wide,48.4,0.6,111%,87%,48.9,13.4,87,NA,,43.48,-110.76,,,,,,,,,,,,,,,,,,,,,
Jackson,WY,"10,746",Destination,Best Area,49.0,0.3,112%,87%,49.3,13.8,87,NA,,43.48,-110.76,,,,,,,,,,,,,,,,,,,,,
Udine,Italy,"97,808",Infrastructure,City Wide,44.7,5.8,90%,109%,50.6,-9.5,69,EU,,46.06,13.24,,,,,,,,,,,,,,,,,,,,,
Udine,Italy,"97,808",Infrastructure,Best Area,50.5,1.1,90%,110%,51.6,-11.2,69,EU,,46.06,13.24,,,,,,,,,,,,,,,,,,,,,
Udine,Italy,"97,808",Balanced,City Wide,49.6,6.7,90%,109%,56.4,-9.5,69,EU,,46.06,13.24,,,,,,,,,,,,,,,,,,,,,
Udine,Italy,"97,808",Balanced,Best Area,56.3,0.6,90%,110%,56.9,-11.2,69,EU,,46.06,13.24,,,,,,,,,,,,,,,,,,,,,
Udine,Italy,"97,808",Destination,City Wide,54.2,7.5,90%,109%,61.8,-9.5,69,EU,,46.06,13.24,,,,,,,,,,,,,,,,,,,,,
Udine,Italy,"97,808",Destination,Best Area,61.7,0.4,90%,110%,62.1,-11.2,69,EU,,46.06,13.24,,,,,,,,,,,,,,,,,,,,,
Gainesville,FL,"143,611",Infrastructure,City Wide,46.7,13.4,107%,93%,60.4,5.9,28,NA,,29.65,-82.32,,,,,,,,,,,,,,,,,,,,,
Gainesville,FL,"143,611",Infrastructure,Best Area,60.1,1.5,107%,93%,61.6,7.9,64,NA,,29.65,-82.32,,,,,,,,,,,,,,,,,,,,,
Gainesville,FL,"143,611",Balanced,City Wide,43.8,12.4,107%,93%,56.5,5.9,28,NA,,29.65,-82.32,,,,,,,,,,,,,,,,,,,,,
Gainesville,FL,"143,611",Balanced,Best Area,56.2,1.3,107%,93%,57.5,7.9,64,NA,,29.65,-82.32,,,,,,,,,,,,,,,,,,,,,
Gainesville,FL,"143,611",Destination,City Wide,40.8,11.4,107%,93%,52.5,5.9,28,NA,,29.65,-82.32,,,,,,,,,,,,,,,,,,,,,
Gainesville,FL,"143,611",Destination,Best Area,52.2,0.8,107%,93%,53.0,7.9,64,NA,,29.65,-82.32,,,,,,,,,,,,,,,,,,,,,
Caracas,Venezuela,"1,943,901",Infrastructure,City Wide,27.6,23.0,84%,113%,52.4,-9.4,42,Other,,10.51,-66.91,,,,,,,,,,,,,,,,,,,,,
Caracas,Venezuela,"1,943,901",Infrastructure,Best Area,50.6,4.2,90%,109%,54.8,-10.9,51,Other,,10.51,-66.91,,,,,,,,,,,,,,,,,,,,,
Caracas,Venezuela,"1,943,901",Balanced,City Wide,32.7,23.5,84%,113%,58.9,-9.4,42,Other,,10.51,-66.91,,,,,,,,,,,,,,,,,,,,,
Caracas,Venezuela,"1,943,901",Balanced,Best Area,56.2,4.6,90%,109%,60.8,-10.9,51,Other,,10.51,-66.91,,,,,,,,,,,,,,,,,,,,,
Caracas,Venezuela,"1,943,901",Destination,City Wide,37.0,24.5,84%,113%,65.1,-9.4,42,Other,,10.51,-66.91,,,,,,,,,,,,,,,,,,,,,
Caracas,Venezuela,"1,943,901",Destination,Best Area,61.5,5.7,90%,109%,67.2,-10.9,51,Other,,10.51,-66.91,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PA,"303,620",Infrastructure,City Wide,44.9,10.2,96%,103%,55.6,-3.3,62,NA,,40.44,-80.00,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PA,"303,620",Infrastructure,Best Area,55.1,2.9,98%,102%,58.0,-2.3,70,NA,,40.44,-80.00,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PA,"303,620",Balanced,City Wide,46.6,9.5,96%,103%,57.0,-3.3,62,NA,,40.44,-80.00,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PA,"303,620",Balanced,Best Area,56.1,2.9,98%,102%,59.0,-2.3,70,NA,,40.44,-80.00,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PA,"303,620",Destination,City Wide,48.2,9.2,96%,103%,58.1,-3.3,61,NA,,40.44,-80.00,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PA,"303,620",Destination,Best Area,57.4,2.4,98%,102%,59.8,-2.3,70,NA,,40.44,-80.00,,,,,,,,,,,,,,,,,,,,,
Oxford,MS,"26,086",Infrastructure,City Wide,52.0,8.0,106%,93%,60.3,6.4,82,NA,,34.37,-89.52,,,,,,,,,,,,,,,,,,,,,
Oxford,MS,"26,086",Infrastructure,Best Area,60.0,0.6,108%,92%,60.6,8.9,87,NA,,34.37,-89.52,,,,,,,,,,,,,,,,,,,,,
Oxford,MS,"26,086",Balanced,City Wide,48.9,6.8,106%,93%,56.1,6.4,84,NA,,34.37,-89.52,,,,,,,,,,,,,,,,,,,,,
Oxford,MS,"26,086",Balanced,Best Area,55.7,0.4,108%,92%,56.1,8.9,87,NA,,34.37,-89.52,,,,,,,,,,,,,,,,,,,,,
Oxford,MS,"26,086",Destination,City Wide,45.6,5.5,106%,93%,51.4,6.4,84,NA,,34.37,-89.52,,,,,,,,,,,,,,,,,,,,,
Oxford,MS,"26,086",Destination,Best Area,51.1,0.4,108%,92%,51.5,8.9,87,NA,,34.37,-89.52,,,,,,,,,,,,,,,,,,,,,
Columbia,MD,"105,871",Infrastructure,City Wide,58.4,1.0,107%,92%,59.6,8.4,70,NA,,39.19,-76.86,,,,,,,,,,,,,,,,,,,,,
Columbia,MD,"105,871",Infrastructure,Best Area,59.4,0.4,107%,93%,59.8,7.7,70,NA,,39.19,-76.86,,,,,,,,,,,,,,,,,,,,,
Columbia,MD,"105,871",Balanced,City Wide,54.4,1.2,107%,92%,55.7,8.4,70,NA,,39.19,-76.86,,,,,,,,,,,,,,,,,,,,,
Columbia,MD,"105,871",Balanced,Best Area,55.6,0.3,107%,93%,55.9,7.7,70,NA,,39.19,-76.86,,,,,,,,,,,,,,,,,,,,,
Columbia,MD,"105,871",Destination,City Wide,50.0,1.7,107%,92%,51.7,8.4,70,NA,,39.19,-76.86,,,,,,,,,,,,,,,,,,,,,
Columbia,MD,"105,871",Destination,Best Area,51.7,0.2,107%,93%,51.9,7.7,70,NA,,39.19,-76.86,,,,,,,,,,,,,,,,,,,,,
Corvallis,OR,"60,424",Infrastructure,City Wide,57.7,0.4,104%,95%,58.1,5.0,68,NA,,44.56,-123.26,,,,,,,,,,,,,,,,,,,,,
Corvallis,OR,"60,424",Infrastructure,Best Area,58.1,0.2,105%,95%,58.3,5.2,68,NA,,44.56,-123.26,,,,,,,,,,,,,,,,,,,,,
Corvallis,OR,"60,424",Balanced,City Wide,55.3,0.2,104%,95%,55.6,5.0,68,NA,,44.56,-123.26,,,,,,,,,,,,,,,,,,,,,
Corvallis,OR,"60,424",Balanced,Best Area,55.5,0.2,105%,95%,55.7,5.2,68,NA,,44.56,-123.26,,,,,,,,,,,,,,,,,,,,,
Corvallis,OR,"60,424",Destination,City Wide,52.7,0.2,104%,95%,52.9,5.0,68,NA,,44.56,-123.26,,,,,,,,,,,,,,,,,,,,,
Corvallis,OR,"60,424",Destination,Best Area,52.9,0.2,105%,95%,53.1,5.2,68,NA,,44.56,-123.26,,,,,,,,,,,,,,,,,,,,,
