City/municipality,State/ Country,Population,Focus,Aggregation,Average Score,Disparity,Infra ratio,Dest ratio,Highest Point,Focus Disparity,Safe Area (sq mi),Bike Network (mi),Bike Network %,Bike Paths (mi),Bike Paths %,Bike Lanes (mi),Bike Lanes %,Friendly (mi),Friendly %,Shared Road (miles),Shared Road %,Other (miles),Other %,Total Network,Destinations,Bike Parking,Destination Score,Bad Ints  / mi,Furthest Reach #1 (mi),Furthest Reach #2 (mi),Furthest Reach #3 (mi),PFB rank dif,Copenhagen rank dif
Brussels,Belgium,511838.0,Destination,Best Area,91.9,0.2,99%,101%,92.1,-1.5,187.0,839.0,,717.0,0.25,122.0,0.043,1025.0,0.358,,0.215,,,2862.0,16017.0,7864.0,24222.0,,,11.3,10.0,,38.0
Cologne,Germany,1200156.0,Infrastructure,City Wide,88.1,3.5,100%,100%,91.8,0.0,147.0,728.0,,674.0,0.256,,,783.0,0.297,,0.171,674.3,,2636.0,11666.0,2817.0,16240.0,,,10.5,8.9,,52.0
Cologne,Germany,1200156.0,Infrastructure,Best Area,91.6,1.3,101%,99%,92.9,2.0,192.0,872.0,,809.0,0.242,,,999.0,0.299,,0.177,877.7,,3338.0,12960.0,,17973.0,,,11.5,10.6,,53.0
Cologne,Germany,1200156.0,Balanced,City Wide,88.1,2.5,100%,100%,90.8,0.0,147.0,728.0,,674.0,0.256,,,783.0,0.297,,0.171,674.3,,2636.0,11666.0,2817.0,16240.0,,,10.5,8.9,30.0,54.0
Cologne,Germany,1200156.0,Balanced,Best Area,90.6,0.9,101%,99%,91.5,2.0,192.0,872.0,,809.0,0.242,,,999.0,0.299,,0.177,877.7,,3338.0,12960.0,,17973.0,,,11.5,10.6,,52.0
Cologne,Germany,1200156.0,Destination,City Wide,88.1,1.5,100%,100%,89.7,0.0,147.0,728.0,,674.0,0.256,,,783.0,0.297,,0.171,674.4,,2636.0,11663.0,2817.0,16236.0,,,10.5,8.9,,52.0
Cologne,Germany,1200156.0,Destination,Best Area,89.6,0.5,101%,99%,90.1,2.0,191.0,872.0,,809.0,0.242,,,999.0,0.299,,0.177,877.5,,3338.0,12971.0,,17987.0,,,11.5,10.6,,50.0
Munich,Germany,1669590.0,Infrastructure,City Wide,84.3,2.5,98%,102%,86.9,-3.1,,604.0,0.384,583.0,0.314,,,726.0,0.39,,0.13,,,1858.0,11977.0,3879.0,16324.0,0.3,,,,,
Munich,Germany,1669590.0,Infrastructure,Best Area,86.8,0.9,99%,101%,87.7,-2.2,,,0.375,679.0,0.301,,,869.0,0.385,,0.133,,,2254.0,13471.0,4354.0,18377.0,0.3,,,,,
Munich,Germany,1669590.0,Balanced,City Wide,85.8,2.0,98%,102%,87.9,-3.1,,603.0,0.385,582.0,0.314,,,723.0,0.39,,0.13,,,1852.0,12039.0,3892.0,16397.0,0.3,,,,,5.0
